"Source:","/home/scferro/Documents/winter_project/servo_breakout_pcb/servo_breakout_pcb/servo_breakout_pcb.kicad_sch"
"Date:","Wed 10 Jan 2024 10:35:23 PM CST"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","5"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","J1","Conn_02x04_Top_Bottom","Connector_Generic:Conn_02x04_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"","","J2","Conn_01x15","Connector_Generic:Conn_01x15","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~"
"","","J3","Conn_01x15","Connector_Generic:Conn_01x15","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~"
"","","J4","Conn_02x04_Top_Bottom","Connector_Generic:Conn_02x04_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"","","J5","Screw_Terminal_01x05","Connector:Screw_Terminal_01x05","TerminalBlock:TerminalBlock_bornier-5_P5.08mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","J1, J4","Conn_02x04_Top_Bottom","Connector_Generic:Conn_02x04_Top_Bottom","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"2","2","J2, J3","Conn_01x15","Connector_Generic:Conn_01x15","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~"
"3","1","J5","Screw_Terminal_01x05","Connector:Screw_Terminal_01x05","TerminalBlock:TerminalBlock_bornier-5_P5.08mm","~"
